global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	cosine04	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33
7827.2664934165505	n/a	n/a	61266100.758961424	13852.472874713065	n/a	n/a	191891004.74466124	7653.317232954882	n/a	n/a	58573264.66824417	8016.084478326354	11400.883194780095	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0754765	n/a	n/a	0.00569670205225	-0.126242	n/a	n/a	0.0159370425639999	0.260887	n/a	n/a	0.0680620267689999	-4.76692e-06	n/a	2.27235262864e-11	n/a	0.00277545	n/a	7.7031227025e-06	n/a	-0.00301573	n/a	9.0946274329e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7712.415850898228	-114.85064251832227	13190.670086871456	59481358.25718624	13321.164548335768	-531.3083263772969	282288.53767784423	177453424.9238377	7586.22032460433	-67.09690835055153	4501.995110202312	57550738.81343982	7931.482800969116	11031.327855173298	0.990778	47.303322	0.0299414689999999	0.0162357	0.0023373012	-0.0637426408	0.0723273663	-0.0897360055	0.0282340668	0.0020177844	-0.1019471305	0.0343319374	0.0356592079	-0.0276226747	0.022590804	-0.0576570917	0.0485764301	0.1111505568	-0.0570394694	-0.0153499921	0.0314107783	-0.0173603235	0.0029808897	-0.0501485153	0.006542135	-0.0295844178	0.0100082756	-0.0517919001	0.0091142445	0.0148471672	-0.027807114	0.0144691346	-0.0092137989	0.04544561	-0.0057400121	0.0183427389	-0.0143508704	0.0683417322	-0.0076554201	-0.0307715214	0.0070667471	-0.0004901588	0.0128579679	-0.0074187159	-0.0556682538	0.0430832913	-0.0250679324	0.0016152934	-0.0034101265	0.0576629875	-0.0109783658	0.0558501587	-8.9023e-05	0.0057271554	-0.0494828949	0.0106196591	-0.0253880335	0.0811307279	-0.0319391774	-0.002985561	-0.0219421547	0.0197521378	-0.0476711397	0.0909071758	0.0909014307	0.0908918558	0.0908784514	0.0908612182	0.0	0.0770837	0.0016072	2.5830918400000097e-06	0.00594189680569	-0.117482	0.0087599999999999	7.673759999999982e-05	0.013802020324	0.256724	-0.0041629999999999	1.7330568999999768e-05	0.065907212176	-8.630229999999998e-05	-8.153537999999998e-05	7.448086985289997e-09	6.648018191744398e-09	0.00277518	-2.7000000000013125e-07	7.7016240324e-06	7.290000000007088e-14	-0.00278931	0.0002264199999999	7.7802502761e-06	5.1266016399999883e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7834.329723948629	121.91387305040098	14862.992442149289	61376722.22354501	13526.089261317691	204.9247129819232	41994.13799072361	182955090.70513377	7706.458127814314	120.23780320998412	14457.129320762868	59389496.8757553	8056.181624216823	11345.334842623315	1.334731	63.724888	0.0990304149999999	0.0475551	0.064754627	-0.0658508871	0.083934902	-0.051451294	0.1847306039	0.0872378373	-0.0455354424	-0.0989966607	0.0691265399	-0.1172784494	-0.1132822325	0.0073287927	0.0168782136	0.0750552748	-0.0093699035	0.0606517025	-0.03271178	0.1221907819	-0.029041587	0.0130349133	0.0153642784	0.0890597547	-0.0717560591	0.0731618986	0.0231748224	-0.0599403062	0.0300717436	-0.1221896559	0.0377480675	-0.0210980222	-0.0214673036	-0.0881230278	0.0706471567	-0.0446335114	-0.0584739659	-0.0071528351	-0.0865966572	-0.0259011989	0.0032377644	0.0359435222	-0.0333898261	0.0210328553	0.0731690777	-0.1160740765	0.0174424039	0.123333871	-0.0050384045	0.0580279134	0.0474966769	-0.0620717324	-0.0287924638	-0.1555647102	0.0164807535	0.097738927	0.0567742356	0.0148231713	-0.0734252351	0.0708304972	-0.0249830741	0.0908918558	0.0908401568	0.0907540137	0.0906334592	0.0904785388	0.0	0.0870134999999999	0.0099297999999998	9.860092803999783e-05	0.0075713491822499	-0.112282	0.0051999999999999	2.703999999999996e-05	0.012607247524	0.296164	0.0394399999999999	0.0015555135999999	0.0877131148959999	0.0005687	0.0006550023	3.2341969e-07	4.2902801300529e-07	0.00285782	8.264000000000014e-05	8.1671351524e-06	6.829369600000024e-09	-0.00294088	-0.0001515699999999	8.648775174399999e-06	2.297346489999992e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7477.796134304101	-356.53358964452855	127116.20054481308	55917435.02621335	12536.301712978662	-989.787548339029	979679.3908469856	157158860.63883173	7425.099762067762	-281.3583657465524	79162.52997557075	55132106.47665873	7757.897362613884	10269.675589564584	2.818503	134.565506	0.1158154999999999	0.0533637	-0.1392450408	0.077552799	0.056761394	-0.1729383809	-0.2469693251	-0.0128952585	-0.1861235444	0.2577100078	-0.0899018387	0.0628846793	0.2483700749	-0.1404011158	-0.0343616201	0.0934936455	-0.0434082313	-0.1182255448	0.1452922543	-0.2200671227	0.0621329137	-0.1497178339	0.0307829099	-0.1541436413	0.1351453492	-0.2351338531	0.0494178214	0.1193449691	-0.1403595264	0.2102335053	-0.0905543952	0.1507109082	-0.0092226474	0.1349773576	-0.1389705226	0.2404066317	0.0185282489	-0.0666100884	0.1678859268	0.0471606788	0.0181544571	-0.0708212312	-0.1369850898	0.1437309541	-0.2103227867	0.186364147	-0.1428959921	-0.0217021068	-0.056690001	0.0837237647	-0.106108805	0.0118038512	-0.0799789451	0.2168381096	-0.1740030261	0.1612242278	-0.1099792451	0.062173411	0.0220534965	-0.0390604706	0.0359294001	0.0908612182	0.0907176504	0.0904785388	0.0901441351	0.0897147917	0.0	0.102846	0.0158325000000001	0.00025066805625	0.010577299716	-0.122226	-0.0099439999999999	9.888313599999989e-05	0.014939195076	0.251091	-0.0450729999999999	0.0020315753289999	0.063046690281	0.00024046	-0.00032824	5.78210116e-08	1.077414976e-07	0.0026172	-0.0002406199999999	6.84973584e-06	5.78979844e-08	-0.00261042	0.0003304599999999	6.8142925764e-06	1.0920381159999992e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7356.049130326207	-121.74700397789366	14822.332977593254	54111458.80777295	12335.53605048127	-200.76566249739156	40306.85123801653	152165449.65272307	7305.675055048084	-119.42470701967795	14262.260646735916	53372888.00995182	7624.803795612725	10388.74925049504	2.314424	110.498985	1.1467534999999995	0.768557	-0.1316335811	0.0440982099	-0.0550421962	0.021501101	-0.0812549631	-0.0465141347	0.0026287411	0.119102037	-0.1499889873	0.1217960347	-0.0489881626	0.1220241494	-0.1297632883	-0.1365205256	-0.0314100699	-0.1874292782	-0.212861146	-0.2416397	-0.0064782988	0.0515161911	-0.1155913445	-0.1642932275	0.0573414754	0.005942893	0.0412518241	0.1781119862	0.2120673802	0.2343244973	-0.0133623125	-0.0305677248	0.1150082649	0.1675052521	-0.0582912069	-0.0231991928	4.50307e-05	-0.1070149074	-0.0064264485	0.0261744517	-0.0328575192	-0.0392160231	-0.0584773954	0.1461736127	-0.1154318277	0.1376042871	-0.1811926283	-0.06508991	-0.0675255645	-0.046126716	-0.267107654	0.0253613709	-0.0502630547	0.4498531196	-0.1775504008	-0.0553816943	-0.1626911919	-0.0383816736	0.0143335613	-0.1544550086	0.1468776195	0.0908152683	0.090533994	0.0900658486	0.0894117985	0.0885731936	0.0	0.131255	0.028409	0.000807071281	0.017227875025	-0.0140585	0.1081675	0.01170020805625	0.00019764142225	-0.446412	-0.697503	0.486510435009	0.1992836737439999	0.00246017	0.0022197099999999	6.052436428899999e-06	4.927112484099999e-06	0.00538843	0.0027712299999999	2.90351778649e-05	7.679715712899998e-06	-0.00134788	0.00126254	1.8167804944e-06	1.5940072516e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7838.649669942723	482.60053961651647	232903.2808381529	61444428.64809317	13573.130863247014	1237.594812765743	1531640.9205846745	184229881.43082863	7722.045251330319	416.3701962822352	173364.14035210703	59629982.86359313	8089.987986304241	11375.693703302652	2.822717	134.766724	0.7492802	0.544415	0.0719869807	0.0321769322	-0.0171432696	0.0294780063	0.1868477689	0.0412690026	0.0785847334	-0.1383390329	0.0683876298	-0.1108135531	-0.2763596552	0.223581744	-0.0710728864	0.1169390888	0.0838138312	0.0647365157	-0.0948206946	0.1666198825	-0.0060690779	0.0523060912	0.0302418602	0.1802371321	-0.0862353347	0.1724002058	0.0579936632	-0.0674036824	0.0908849894	-0.1662300644	0.0298955062	-0.0596450379	-0.0345348293	-0.1691587536	0.0841697635	-0.1591539129	-0.1196293071	0.0056043663	-0.0533163981	-0.0129255891	-0.0100655047	0.0192619424	0.002781114	-0.0184729962	0.0764694357	-0.1073459881	0.0230448602	0.1180462576	0.0125243509	-0.0430507551	0.0682346888	0.0338072019	0.0213354384	-0.191027831	0.0924952353	-0.1035234946	0.1114375903	-0.0008624466	0.0029849485	-0.0132480418	0.0401849366	0.0907540137	0.0902893113	0.0895165691	0.0884384234	0.0870585525	0.0	0.0990516	-0.0322034	0.00103705897156	0.00981121946256	-0.0853654999999999	-0.0713069999999999	0.0050846882489999	0.0072872685902499	0.0678538	0.5142658	0.26446931304964	0.00460413817444	0.00132205	-0.0011381199999999	1.7478162025e-06	1.2953171343999997e-06	0.00432437	-0.0010640599999999	1.87001758969e-05	1.132223683599999e-06	-0.00177578	-0.0004278999999999	3.1533946084e-06	1.8309840999999997e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7655.533455363897	-183.11621457882663	33531.548041678885	58607192.486195885	12900.599745914416	-672.5311173325972	452298.1037806316	166425473.8042871	7564.725885305575	-157.31936602474434	24749.382926427483	57225077.71981221	7901.697381234906	10693.259223866937	1.9009	90.755836	0.1133431	0.0581568	-0.0361439312	0.0877267959	-0.0095797902	-0.0512491264	-0.0439206323	0.0090812806	-0.034010936	0.0594220722	-0.0364209531	0.0127339672	0.0689663433	-0.0378141805	-0.0702562205	0.0257356506	-0.0138630729	-0.0308012135	0.0394848687	-0.0544043339	0.0267231609	-0.0460004188	-0.0120350785	-0.0482099977	0.0419206968	-0.0420338911	0.0342530625	0.0306305424	-0.041048015	0.0507918046	-0.0323239334	0.0446329787	0.0211150181	0.0426536228	-0.0460591411	0.0526173179	-0.0181374594	-0.0236184436	0.0440038032	0.0156061886	-0.0018036171	-0.0193165252	-0.0562731758	0.0615245508	-0.0396853723	0.0082576158	-0.0335336809	0.0525103473	-0.0456577076	-0.0160162158	-0.0017144706	0.0195912704	0.0061838735	0.0308860889	-0.0218105778	-0.036121034	-0.022739183	-9.69327e-05	0.0276618137	-0.0856871221	0.0587131542	0.090677465	0.0899837674	0.0888315333	0.087226634	0.0851772477	0.0	0.106987	0.0079353999999999	6.297057315999992e-05	0.0114462181689999	-0.100402	-0.0150365000000001	0.00022609633225	0.010080561604	0.0663016	-0.0015522	2.4093248400000117e-06	0.00439590216256	0.00203335	0.0007113	4.134512222500001e-06	5.059476900000003e-07	0.00353405	-0.00079032	1.24895094025e-05	6.246057024000003e-07	-0.00205054	-0.00027476	4.2047142916e-06	7.549305759999999e-08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7768.586965024784	113.05350966088736	12781.09604664435	60350943.43315299	13274.51707761634	373.9173317019231	139814.17094708598	176212803.64392784	7656.419029846083	91.693144540508	8407.632755726492	58620752.36058923	8003.247071391325	11140.638217375856	1.158391	55.305782	0.24148675	0.156251	0.0282073888	0.0664185775	0.0165518417	0.0105258389	0.1311979892	0.0352095739	0.0068511804	-0.07002248	0.0276177319	-0.0329119975	-0.0607445185	0.0249038777	-0.0708284128	0.034235529	-0.0067242813	0.0237780962	-0.0257731883	0.0580900047	-0.0109542342	0.0002307057	0.0057492295	0.0616876576	-0.0380304628	0.0534206073	0.0368587791	-0.0249256209	0.0233859244	-0.0594870658	0.0160149308	-0.0070835266	-0.0053089332	-0.0626607895	0.0354443692	-0.0324679561	-0.0525102343	-0.0174136619	-0.0625305152	-0.0212506897	0.001356198	0.0236985111	-0.0247547783	0.0261441715	0.0378220331	-0.0848818861	-0.0016045021	0.1130392032	-0.028985085	0.0287883098	0.0358776015	-0.0121054238	-0.0089288085	-0.1035667305	0.0268493878	0.0004007461	0.0290552669	0.0241627804	-0.0064461409	0.0010842882	0.0627088315	0.0905856348	0.0896175683	0.08801178	0.085779697	0.0829372026	0.0	0.0807154999999999	-0.0262715000000001	0.00069019171225	0.0065149919402499	-0.0938513	0.0065507	4.2911670490000085e-05	0.00880806651169	0.183595	0.1172934	0.01375774168356	0.033707124025	0.000615817	-0.001417533	3.792305774889999e-07	2.009399806089001e-06	0.00325628	-0.00027777	1.0603359438399998e-05	7.715617290000007e-08	-0.00218266	-0.0001321199999999	4.7640046756e-06	1.7455694399999973e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7684.336348887228	-84.25061613755588	7098.166319557791	59049025.1228295	13044.295038850558	-230.2220387657817	53002.18713347309	170153633.06058127	7597.535682140305	-58.88334770577785	3467.2486370395336	57722548.44139515	7935.250692530436	10874.5889216936	0.903827	43.151947	0.16493095	0.0855144999999999	-0.0192815839	0.0850295482	0.0190751969	-0.019950003	0.0424854294	0.041902378	-0.0499314547	0.0132445655	-0.0116237831	-0.0080068586	0.0457185556	-0.058279809	-0.0995210099	0.0050265266	-0.0344811265	-0.0108033668	0.0303873374	-0.0048985614	0.0052036725	-0.0392653551	-0.0111434884	-0.0126481341	0.0042712665	-0.0306054979	0.0100664688	0.011266244	-0.0311008847	0.0034246224	-0.0074369348	0.0321736466	0.0160715074	0.0018208971	-0.0087384701	0.0456484794	-0.0010907283	-0.0331457049	-0.0044983917	0.0011013471	0.0055288459	-0.0017107996	-0.0561047339	0.0644174723	-0.0265467127	-0.0268732129	-0.0317580708	0.0806745306	-0.05318616	0.0404317226	0.0195019551	-0.0452061445	-0.0219362639	-0.0255556674	-0.0266971327	0.0806056301	-0.0031200901	0.0156397188	-0.025555303	-0.0096611112	0.0445323219	0.0904785388	0.0891909606	0.0870585525	0.084101513	0.0803478517	0.0	0.0967054	0.0159899000000001	0.00025567690201	0.0093519343891599	-0.099389	-0.0055377	3.066612129000007e-05	0.009878173321	0.266473	0.082878	0.006868762884	0.071007859729	0.000978344	0.0003625269999999	9.57156982336e-07	1.3142582572899997e-07	0.00368033	0.00042405	1.35448289089e-05	1.7981840250000006e-07	-0.00260659	-0.00042393	6.794311428100001e-06	1.797166449000003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7728.473488093973	44.137139206744905	1948.0870573555785	59729302.45617142	13196.389376988993	152.09433813843498	23132.6876937686	174144692.58910793	7635.646575736073	38.110893595768175	1452.4402106679638	58303098.62955002	7974.132727348086	11052.085879184004	0.783041	37.385231	0.0630776999999999	0.0340616	0.0133048103	0.0671932135	-0.0205339957	0.0731967315	0.0948004047	0.0515782765	-0.005405991	-0.0283261387	0.017286875	-0.0125042139	-0.0414853632	-0.0259382444	-0.1055125705	0.003416239	-0.017822324	0.0154558795	-0.0151540156	0.0382035877	-0.0106591759	-0.004727971	0.0029409886	0.038336301	-0.0276672178	0.0237775671	0.0181245301	-0.0147882099	0.0136275957	-0.0382732635	0.0115595437	-0.0036431117	-0.0001952906	-0.0421471769	0.0255223019	-0.0024843152	-0.0249809886	-0.0308723948	-0.0538218706	-0.0132898229	0.0057265133	0.0188253233	-0.0359083099	0.0430708067	0.0157231118	-0.0745142564	-0.0163681736	0.1076021441	-0.0541838822	0.040993697	0.0376997327	-0.0463952367	-0.0237653799	-0.0777031985	-0.0022862333	0.0806700173	0.0276933846	0.0060191743	-0.0454067502	0.0215201676	0.0336472702	0.0903561949	0.0887042321	0.0859732964	0.0821966063	0.0774201003	0.0	0.108137	0.0114316	0.00013068147856	0.011693610769	-0.0937394	0.0056496	3.191798016000005e-05	0.00878707511236	0.2935	0.0270269999999999	0.0007304587289999	0.0861422499999999	0.000978344	0.0	9.57156982336e-07	0.0	0.00405818	0.0003778499999999	1.6468824912399997e-05	1.427706224999999e-07	-0.00260813	-1.5399999999999615e-06	6.802342096900001e-06	2.3715999999998814e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
